ts	cpu	mem	net_io	block_io	pids	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775662638	35.67%	234.3MiB / 3.884GiB	2.48GB / 7.94GB	408MB / 0B	11	3	527	0	617	0	0	0	7	63062099	15256
1775662641	35.48%	234.4MiB / 3.884GiB	2.48GB / 7.94GB	408MB / 0B	11	3	527	0	617	0	0	0	7	63083702	15256
1775662644	36.15%	234.2MiB / 3.884GiB	2.48GB / 7.95GB	408MB / 0B	11	3	527	0	617	0	0	0	7	63105118	15259
1775662647	36.47%	234.8MiB / 3.884GiB	2.48GB / 7.96GB	408MB / 0B	12	3	527	0	617	0	0	0	7	63127097	15260
1775662650	48.35%	234.5MiB / 3.884GiB	2.49GB / 7.96GB	408MB / 0B	12	3	527	0	617	0	0	0	7	63149645	15260
1775662653	37.30%	227.1MiB / 3.884GiB	2.49GB / 7.97GB	409MB / 0B	12	3	527	0	617	0	0	0	7	63170999	15260
1775662656	37.98%	226.8MiB / 3.884GiB	2.49GB / 7.97GB	409MB / 0B	11	3	527	0	617	0	0	0	7	63192775	15260
1775662659	38.26%	226.7MiB / 3.884GiB	2.49GB / 7.98GB	409MB / 0B	11	3	527	0	617	0	0	0	7	63214947	15260
1775662662	38.41%	227.1MiB / 3.884GiB	2.49GB / 7.99GB	409MB / 0B	11	3	527	0	617	0	0	0	7	63236430	15260
1775662665	37.90%	227.3MiB / 3.884GiB	2.5GB / 7.99GB	409MB / 0B	11	3	527	0	617	0	0	0	7	63258215	15260
1775662668	37.85%	226.9MiB / 3.884GiB	2.5GB / 8GB	409MB / 0B	11	3	527	0	617	0	0	0	7	63279724	15264
1775662671	37.89%	227MiB / 3.884GiB	2.5GB / 8GB	409MB / 0B	11	3	527	0	617	0	0	0	7	63301646	15264
1775662674	39.18%	227.1MiB / 3.884GiB	2.5GB / 8.01GB	409MB / 0B	11	3	527	0	617	0	0	0	7	63323126	15264
1775662677	38.48%	226.9MiB / 3.884GiB	2.5GB / 8.02GB	409MB / 0B	12	3	527	0	617	0	0	0	7	63345012	15264
1775662680	38.05%	227MiB / 3.884GiB	2.5GB / 8.02GB	409MB / 0B	12	3	527	0	617	0	0	0	7	63367426	15264
1775662683	42.74%	227.6MiB / 3.884GiB	2.51GB / 8.03GB	409MB / 0B	12	3	527	0	617	0	0	0	7	63390740	15264
1775662686	43.85%	227.1MiB / 3.884GiB	2.51GB / 8.04GB	409MB / 0B	11	3	527	0	617	0	0	0	7	63413874	15264
1775662689	39.07%	226.8MiB / 3.884GiB	2.51GB / 8.04GB	409MB / 0B	11	3	527	0	617	0	0	0	7	63444635	15264
1775662693	38.22%	227.1MiB / 3.884GiB	2.51GB / 8.05GB	409MB / 0B	11	3	527	0	618	0	0	0	7	63472446	15264
1775662697	37.25%	231.1MiB / 3.884GiB	2.52GB / 8.06GB	413MB / 0B	11	3	527	0	617	0	0	0	7	63494451	15264
1775662700	39.46%	231.8MiB / 3.884GiB	2.52GB / 8.06GB	413MB / 0B	11	3	527	0	618	0	0	0	7	63515755	15264
1775662703	38.59%	231.2MiB / 3.884GiB	2.52GB / 8.07GB	413MB / 0B	11	3	527	0	618	0	0	0	7	63537531	15268
1775662706	39.52%	238.1MiB / 3.884GiB	2.52GB / 8.08GB	420MB / 0B	12	3	527	0	618	0	0	0	7	63558939	15272
1775662709	38.08%	238.3MiB / 3.884GiB	2.52GB / 8.08GB	420MB / 0B	12	3	527	0	618	0	0	0	7	63580622	15272
1775662712	38.13%	238.4MiB / 3.884GiB	2.52GB / 8.09GB	420MB / 0B	12	3	527	0	618	0	0	0	7	63602101	15272
1775662715	41.46%	238MiB / 3.884GiB	2.53GB / 8.09GB	420MB / 0B	12	3	527	0	618	0	0	0	7	63623896	15272
1775662718	36.21%	237.9MiB / 3.884GiB	2.53GB / 8.1GB	420MB / 0B	11	3	527	0	618	0	0	0	7	63645437	15272
1775662721	35.64%	238.2MiB / 3.884GiB	2.53GB / 8.11GB	420MB / 0B	11	3	527	0	616	0	0	0	7	63666783	15279
1775662724	35.61%	238.5MiB / 3.884GiB	2.53GB / 8.11GB	420MB / 0B	11	3	527	0	618	0	0	0	7	63688192	15279
1775662727	35.87%	237.9MiB / 3.884GiB	2.53GB / 8.12GB	420MB / 0B	11	3	527	0	618	0	0	0	7	63710033	15279
1775662730	36.02%	238.6MiB / 3.884GiB	2.54GB / 8.12GB	420MB / 0B	11	3	527	0	616	0	0	0	7	63731264	15279
1775662733	36.44%	237.7MiB / 3.884GiB	2.54GB / 8.13GB	420MB / 0B	11	3	527	0	617	0	0	0	7	63752647	15279
1775662736	35.51%	238.1MiB / 3.884GiB	2.54GB / 8.14GB	420MB / 0B	12	3	527	0	618	0	0	0	7	63774159	15279
1775662739	36.05%	237.9MiB / 3.884GiB	2.54GB / 8.14GB	420MB / 0B	12	3	527	0	618	0	0	0	7	63796193	15279
1775662742	42.15%	227.5MiB / 3.884GiB	2.54GB / 8.15GB	420MB / 0B	12	3	527	0	618	0	0	0	7	63820286	15279
1775662746	42.54%	227.4MiB / 3.884GiB	2.55GB / 8.16GB	420MB / 0B	11	3	527	0	617	0	0	0	7	63849416	15279
1775662749	41.34%	227MiB / 3.884GiB	2.55GB / 8.16GB	420MB / 0B	11	3	527	0	617	0	0	0	7	63872168	15279
1775662752	37.54%	227.2MiB / 3.884GiB	2.55GB / 8.17GB	420MB / 0B	11	3	527	0	617	0	0	0	7	63893256	15279
1775662755	37.55%	227MiB / 3.884GiB	2.55GB / 8.18GB	420MB / 0B	11	3	527	0	617	0	0	0	7	63914981	15279
1775662758	38.04%	226.8MiB / 3.884GiB	2.55GB / 8.18GB	420MB / 0B	11	3	527	0	617	0	0	0	7	63937125	15279
1775662761	37.69%	226.7MiB / 3.884GiB	2.56GB / 8.19GB	420MB / 0B	11	3	527	0	617	0	0	0	7	63958567	15284
