-- ============================================================================
-- 数据库架构列定义文档
-- ============================================================================
-- 
-- 说明: 本文件是从当前数据库导出的架构快照，用于记录数据库表结构。
-- 
-- 重要提示:
-- 1. 本文件中的字段命名可能与 DATABASE_FIELD_STANDARDS.md 规范不一致
-- 2. 请参考 DATABASE_FIELD_NORM_AUDIT_REPORT.md 了解需要规范化的字段
-- 3. 实际数据库迁移脚本位于:
--    - 00000000_unified_schema.sql (统一架构)
--    - 20260220000000_normalize_field_names.sql (字段规范化迁移)
-- 
-- 规范要求:
-- - 布尔字段使用 is_/has_ 前缀 (如: is_enabled, is_active -> is_enabled)
-- - 时间戳字段使用 _ts 后缀 (如: created_ts, updated_ts)
-- - 可选时间戳使用 _at 后缀 (如: expires_at, revoked_at)
-- - 避免冗余字段 (如: ip 和 ip_address 保留一个)
-- 
-- 生成命令:
-- SELECT table_name, column_name, data_type, character_maximum_length, 
--        is_nullable, column_default 
-- FROM information_schema.columns 
-- WHERE table_schema = 'public' 
-- ORDER BY table_name, ordinal_position;
-- 
-- ============================================================================

                table_name                 |        column_name         |        data_type         | character_maximum_length | is_nullable |                            column_default                             
 application_service_user_namespaces       | id                         | bigint                   |                          | NO          | nextval('application_service_user_namespaces_id_seq'::regclass)
 application_service_user_namespaces       | as_id                      | character varying        |                      255 | NO          | 
 application_service_user_namespaces       | namespace_pattern          | character varying        |                      255 | NO          | 
 application_service_user_namespaces       | exclusive                  | boolean                  |                          | YES         | false
 application_service_user_namespaces       | regex                      | character varying        |                      512 | NO          | 
 application_service_user_namespaces       | created_ts                 | bigint                   |                          | NO          | 
 application_service_users                 | as_id                      | character varying        |                      255 | NO          | 
 application_service_users                 | user_id                    | character varying        |                      255 | NO          | 
 application_service_users                 | displayname                | character varying        |                      255 | YES         | 
 application_service_users                 | avatar_url                 | character varying        |                      512 | YES         | 
 application_service_users                 | created_ts                 | bigint                   |                          | NO          | 
 application_services                      | id                         | bigint                   |                          | NO          | nextval('application_services_id_seq'::regclass)
 application_services                      | as_id                      | character varying        |                      255 | NO          | 
 application_services                      | url                        | character varying        |                     1024 | NO          | 
 application_services                      | as_token                   | character varying        |                      255 | NO          | 
 application_services                      | hs_token                   | character varying        |                      255 | NO          | 
 application_services                      | sender                     | character varying        |                      255 | NO          | 
 application_services                      | name                       | character varying        |                      255 | YES         | 
 application_services                      | description                | text                     |                          | YES         | 
 application_services                      | rate_limited               | boolean                  |                          | YES         | false
 application_services                      | protocols                  | ARRAY                    |                          | YES         | 
 application_services                      | namespaces                 | jsonb                    |                          | NO          | '{}'::jsonb
 application_services                      | created_ts                 | bigint                   |                          | NO          | 
 application_services                      | updated_ts                 | bigint                   |                          | YES         | 
 application_services                      | last_seen_ts               | bigint                   |                          | YES         | 
 application_services                      | is_active                  | boolean                  |                          | YES         | true
 background_update_history                 | id                         | bigint                   |                          | NO          | nextval('background_update_history_id_seq'::regclass)
 background_update_history                 | job_name                   | character varying        |                      255 | NO          | 
 background_update_history                 | execution_start_ts         | bigint                   |                          | NO          | 
 background_update_history                 | execution_end_ts           | bigint                   |                          | YES         | 
 background_update_history                 | status                     | character varying        |                       50 | NO          | 
 background_update_history                 | items_processed            | integer                  |                          | YES         | 0
 background_update_history                 | error_message              | text                     |                          | YES         | 
 background_update_history                 | metadata                   | jsonb                    |                          | YES         | 
 background_update_locks                   | job_name                   | character varying        |                      255 | NO          | 
 background_update_locks                   | locked_by                  | character varying        |                      255 | YES         | 
 background_update_locks                   | locked_ts                  | bigint                   |                          | NO          | 
 background_update_locks                   | expires_ts                 | bigint                   |                          | NO          | 
 background_update_stats                   | id                         | bigint                   |                          | NO          | nextval('background_update_stats_id_seq'::regclass)
 background_update_stats                   | stat_date                  | date                     |                          | NO          | 
 background_update_stats                   | total_jobs                 | integer                  |                          | YES         | 0
 background_update_stats                   | completed_jobs             | integer                  |                          | YES         | 0
 background_update_stats                   | failed_jobs                | integer                  |                          | YES         | 0
 background_update_stats                   | total_items_processed      | bigint                   |                          | YES         | 0
 background_update_stats                   | total_execution_time_ms    | bigint                   |                          | YES         | 0
 background_update_stats                   | avg_items_per_second       | double precision         |                          | YES         | 
 background_update_stats                   | created_ts                 | bigint                   |                          | NO          | 
 background_update_stats                   | updated_ts                 | bigint                   |                          | NO          | 
 background_updates                        | job_name                   | character varying        |                      255 | NO          | 
 background_updates                        | job_type                   | character varying        |                       50 | NO          | 
 background_updates                        | description                | text                     |                          | YES         | 
 background_updates                        | table_name                 | character varying        |                      255 | YES         | 
 background_updates                        | column_name                | character varying        |                      255 | YES         | 
 background_updates                        | status                     | character varying        |                       50 | YES         | 'pending'::character varying
 background_updates                        | progress                   | integer                  |                          | YES         | 0
 background_updates                        | total_items                | integer                  |                          | YES         | 0
 background_updates                        | processed_items            | integer                  |                          | YES         | 0
 background_updates                        | created_ts                 | bigint                   |                          | NO          | 
 background_updates                        | started_ts                 | bigint                   |                          | YES         | 
 background_updates                        | completed_ts               | bigint                   |                          | YES         | 
 background_updates                        | last_updated_ts            | bigint                   |                          | YES         | 
 background_updates                        | error_message              | text                     |                          | YES         | 
 background_updates                        | retry_count                | integer                  |                          | YES         | 0
 background_updates                        | max_retries                | integer                  |                          | YES         | 3
 background_updates                        | batch_size                 | integer                  |                          | YES         | 100
 background_updates                        | sleep_ms                   | integer                  |                          | YES         | 1000
 background_updates                        | depends_on                 | ARRAY                    |                          | YES         | 
 background_updates                        | metadata                   | jsonb                    |                          | YES         | 
 backup_keys                               | user_id                    | character varying        |                      255 | NO          | 
 backup_keys                               | backup_id                  | character varying        |                      255 | NO          | 
 backup_keys                               | room_id                    | character varying        |                      255 | NO          | 
 backup_keys                               | session_id                 | character varying        |                      255 | NO          | 
 backup_keys                               | first_message_index        | bigint                   |                          | NO          | 
 backup_keys                               | forwarded_count            | bigint                   |                          | NO          | 
 backup_keys                               | is_verified                | boolean                  |                          | YES         | false
 backup_keys                               | backup_data                | jsonb                    |                          | NO          | 
 blocked_rooms                             | room_id                    | text                     |                          | NO          | 
 blocked_rooms                             | blocked_at                 | bigint                   |                          | NO          | 
 blocked_rooms                             | blocked_by                 | text                     |                          | NO          | 'admin'::text
 blocked_rooms                             | reason                     | text                     |                          | YES         | 
 blocked_rooms                             | created_at                 | bigint                   |                          | NO          | (EXTRACT(epoch FROM now()) * (1000)::numeric)
 blocked_users_backup_20260211             | user_id                    | character varying        |                      255 | YES         | 
 blocked_users_backup_20260211             | blocked_user_id            | character varying        |                      255 | YES         | 
 blocked_users_backup_20260211             | reason                     | text                     |                          | YES         | 
 blocked_users_backup_20260211             | created_ts                 | bigint                   |                          | YES         | 
 captcha_config                            | id                         | integer                  |                          | NO          | nextval('captcha_config_id_seq'::regclass)
 captcha_config                            | config_key                 | character varying        |                      100 | NO          | 
 captcha_config                            | config_value               | text                     |                          | NO          | 
 captcha_config                            | description                | text                     |                          | YES         | 
 captcha_config                            | created_at                 | timestamp with time zone |                          | YES         | now()
 captcha_config                            | updated_at                 | timestamp with time zone |                          | YES         | now()
 captcha_rate_limit                        | id                         | integer                  |                          | NO          | nextval('captcha_rate_limit_id_seq'::regclass)
 captcha_rate_limit                        | target                     | character varying        |                      255 | NO          | 
 captcha_rate_limit                        | ip_address                 | character varying        |                       45 | YES         | 
 captcha_rate_limit                        | captcha_type               | character varying        |                       20 | NO          | 
 captcha_rate_limit                        | request_count              | integer                  |                          | YES         | 1
 captcha_rate_limit                        | first_request_at           | timestamp with time zone |                          | YES         | now()
 captcha_rate_limit                        | last_request_at            | timestamp with time zone |                          | YES         | now()
 captcha_rate_limit                        | blocked_until              | timestamp with time zone |                          | YES         | 
 captcha_send_log                          | id                         | integer                  |                          | NO          | nextval('captcha_send_log_id_seq'::regclass)
 captcha_send_log                          | captcha_id                 | character varying        |                       64 | YES         | 
 captcha_send_log                          | captcha_type               | character varying        |                       20 | NO          | 
 captcha_send_log                          | target                     | character varying        |                      255 | NO          | 
 captcha_send_log                          | sent_at                    | timestamp with time zone |                          | YES         | now()
 captcha_send_log                          | ip_address                 | character varying        |                       45 | YES         | 
 captcha_send_log                          | user_agent                 | text                     |                          | YES         | 
 captcha_send_log                          | success                    | boolean                  |                          | YES         | true
 captcha_send_log                          | error_message              | text                     |                          | YES         | 
 captcha_send_log                          | provider                   | character varying        |                       50 | YES         | 
 captcha_send_log                          | provider_response          | text                     |                          | YES         | 
 captcha_template                          | id                         | integer                  |                          | NO          | nextval('captcha_template_id_seq'::regclass)
 captcha_template                          | template_name              | character varying        |                      100 | NO          | 
 captcha_template                          | captcha_type               | character varying        |                       20 | NO          | 
 captcha_template                          | subject                    | character varying        |                      255 | YES         | 
 captcha_template                          | content                    | text                     |                          | NO          | 
 captcha_template                          | variables                  | jsonb                    |                          | YES         | '[]'::jsonb
 captcha_template                          | is_default                 | boolean                  |                          | YES         | false
 captcha_template                          | enabled                    | boolean                  |                          | YES         | true
 captcha_template                          | created_at                 | timestamp with time zone |                          | YES         | now()
 captcha_template                          | updated_at                 | timestamp with time zone |                          | YES         | now()
 cas_proxy_granting_tickets                | id                         | integer                  |                          | NO          | nextval('cas_proxy_granting_tickets_id_seq'::regclass)
 cas_proxy_granting_tickets                | pgt_id                     | character varying        |                      255 | NO          | 
 cas_proxy_granting_tickets                | user_id                    | character varying        |                      255 | NO          | 
 cas_proxy_granting_tickets                | service_url                | text                     |                          | NO          | 
 cas_proxy_granting_tickets                | iou                        | character varying        |                      255 | YES         | 
 cas_proxy_granting_tickets                | created_at                 | timestamp with time zone |                          | NO          | now()
