Case,super_admin_status,super_admin_outcome,admin_status,admin_outcome,user_status,user_outcome
Set Vault Data,200,pass,200,pass,200,pass
Get Retention Policy,200,pass,200,pass,200,pass
Admin Register,400,skip,400,skip,400,skip
Get Room Key Backward,200,pass,200,pass,200,pass
Get Event Thread,200,pass,200,pass,200,pass
Get Auto-Discovery,200,pass,200,pass,200,pass
Get Room Rendered,200,pass,200,pass,200,pass
Evict User,200,pass,200,pass,403,pass
Get Group Details,200,pass,200,pass,200,pass
Get State v2,200,pass,200,pass,200,pass
Search Messages,200,pass,200,pass,200,pass
Get Room Reports,200,pass,200,pass,403,pass
Get Replacement Event,,pass,,pass,,pass
Get Global Tags,200,pass,200,pass,200,pass
Get Presence Bulk,200,pass,200,pass,200,pass
Send Room Message,200,pass,200,pass,200,pass
Send Room Event,200,pass,200,pass,200,pass
Upgrade Room,200,pass,200,pass,200,pass
Get Room Tombstone,200,pass,200,pass,200,pass
Get Room External IDs,200,pass,200,pass,200,pass
Get Event Relations,200,pass,200,pass,200,pass
Get Aggregation Groups,200,pass,200,pass,200,pass
Send Event,200,pass,200,pass,200,pass
Update Device List,400,pass,400,pass,400,pass
Forward Keys,200,pass,200,pass,200,pass
Room Search v1,200,pass,200,pass,200,pass
Room Initial Sync,200,pass,200,pass,200,pass
Get Event Perspective,200,pass,200,pass,200,pass
Get Turn Server,200,pass,200,pass,200,pass
Get All Devices,200,pass,200,pass,403,pass
Get Statistics,200,pass,200,pass,403,pass
Get Media Quota,200,pass,200,pass,403,pass
Check Auth,200,pass,200,pass,403,pass
Get Version Info,200,pass,200,pass,403,pass
Get Room Capabilities,200,pass,200,pass,200,pass
Get User Fragments,200,pass,200,pass,200,pass
Get Service Types,200,pass,200,pass,200,pass
Federation Discovery,,pass,,pass,,pass
Sync v1,200,pass,200,pass,200,pass
Upload Keys v1,200,pass,200,pass,200,pass
Get Event Keys,200,pass,200,pass,200,pass
Claim Room Keys,200,pass,200,pass,200,pass
Get Keys Version,200,pass,200,pass,200,pass
Get Message Queue,200,pass,200,pass,200,pass
Get Joined Members,200,pass,200,pass,200,pass
Get Registration Token,200,pass,200,pass,403,pass
Get Room Shares,200,pass,200,pass,403,pass
Get User Count,200,pass,200,pass,403,pass
Get Room Count,200,pass,200,pass,403,pass
Get Pending Joins,200,pass,200,pass,403,pass
Start Typing,200,pass,200,pass,200,pass
Stop Typing,200,pass,200,pass,200,pass
Post Receipt,200,pass,200,pass,200,pass
Get Read Markers,200,pass,200,pass,200,pass
Get Room Key Count,200,pass,200,pass,200,pass
Get Group Friends,200,pass,200,pass,200,pass
Get User Groups,200,pass,200,pass,200,pass
Get User Appservice,200,pass,200,pass,200,pass
Translate Event,200,pass,200,pass,200,pass
Get Event URL,200,pass,200,pass,200,pass
Convert Event,200,pass,200,pass,200,pass
Sign Event,200,pass,200,pass,200,pass
Verify Event,200,pass,200,pass,200,pass
Get Room Device,200,pass,200,pass,200,pass
Get Room Keys v1,200,pass,200,pass,200,pass
Get Timeline,200,pass,200,pass,200,pass
Get Unread Count,200,pass,200,pass,200,pass
Sync Room,200,pass,200,pass,200,pass
Get Room State v1,200,pass,200,pass,200,pass
Get Room State Event,200,pass,200,pass,200,pass
Get Members,200,pass,200,pass,200,pass
Get Members Recent,200,pass,200,pass,200,pass
Get Messages,200,pass,200,pass,200,pass
Report Room Event,200,pass,200,pass,200,pass
Get Room Visibility,200,pass,200,pass,200,pass
Get Room Users,200,pass,200,pass,200,pass
Search Room v3,200,pass,200,pass,200,pass
Get Media Config,200,pass,200,pass,200,pass
Media Upload v3,200,pass,200,pass,200,pass
Search Users Directory,200,pass,200,pass,200,pass
Create Room v3,200,pass,200,pass,200,pass
Prepare Room v3 Invite,200,pass,200,pass,200,pass
Prepare Room v3 Join,200,pass,200,pass,200,pass
Kick User,200,pass,200,pass,200,pass
Ban User,200,pass,200,pass,200,pass
Unban User,200,pass,200,pass,200,pass
Register User v3,200,pass,200,pass,200,pass
Rename Friend Group,200,pass,200,pass,200,pass
Resolve Alias,200,pass,200,pass,200,pass
Get Metadata,200,pass,200,pass,200,pass
Get Encrypted Events,200,pass,200,pass,200,pass
Get Reduced Events,200,pass,200,pass,200,pass
Get User Tags,200,pass,200,pass,200,pass
Get Presence v1,200,pass,200,pass,200,pass
Set Profile,200,pass,200,pass,200,pass
Invite User v3,200,pass,200,pass,200,pass
Join Room v3,200,pass,200,pass,200,pass
Leave Room v3,200,pass,200,pass,200,pass
Kick User v3,200,pass,200,pass,200,pass
Ban User v3,200,pass,200,pass,200,pass
Unban User v3,200,pass,200,pass,200,pass
Get Permissions,200,pass,200,pass,200,pass
Get Pinned Events,200,pass,200,pass,200,pass
Get User Filter,200,pass,200,pass,200,pass
Room Sync v3,200,pass,200,pass,200,pass
Forward Room Keys,200,pass,200,pass,200,pass
Report Room v3,200,pass,200,pass,200,pass
Set State Key,200,pass,200,pass,200,pass
Typing v3,200,pass,200,pass,200,pass
Upload Signatures,200,pass,200,pass,200,pass
Admin List Spaces,200,pass,200,pass,403,pass
Admin Space Rooms,200,pass,200,pass,403,pass
Admin Space Stats,200,pass,200,pass,403,pass
Admin Space Users,200,pass,200,pass,403,pass
Space Public,200,pass,200,pass,200,pass
Space Room Parents,,pass,,pass,,pass
Space Search,,pass,,pass,,pass
Space Statistics,,pass,,pass,,pass
Space User,,pass,,pass,,pass
Space Children v3,,pass,,pass,,pass
Space Hierarchy v1,200,pass,200,pass,200,pass
Space Summary with Children,200,pass,200,pass,200,pass
Space Tree Path,,pass,,pass,,pass
Keys Changes r0,200,pass,200,pass,200,pass
Keys Claim r0,200,pass,200,pass,200,pass
Keys Device Signing Upload,200,pass,200,pass,200,pass
Keys Query r0,200,pass,200,pass,200,pass
Keys Signatures Upload r0,200,pass,200,pass,200,pass
Keys Upload r0,200,pass,200,pass,200,pass
Room Keys Distribution,200,pass,200,pass,200,pass
SendToDevice r0,200,pass,200,pass,200,pass
Device Trust,200,pass,200,pass,200,pass
Device Trust by ID,200,pass,200,pass,404,pass
Device Verification Request,200,pass,200,pass,200,pass
Device Verification Respond,200,pass,200,pass,200,pass
Device Verification Status,200,pass,200,pass,200,pass
Keys Backup Secure,200,pass,200,pass,200,pass
Keys Backup Secure by ID,200,pass,200,pass,200,pass
